REGION,TECHNOLOGY,VALUE
REGION1,FRNGCHPH3,25.0
REGION1,FRNGCHPN3,25.0
REGION1,FRNGCSPN2,30.0
REGION1,FRNGFCFH1,5.0
REGION1,FRNGGCPH2,25.0
REGION1,FRNGGCPN2,25.0
REGION1,FRNGHPFH1,20.0
REGION1,FRNGHPPH2,20.0
REGION1,FRNGSTPH2,30.0
REGION1,FRNUG2PH3,50.0
REGION1,FRNUG3PN3,60.0
REGION1,FROCWVPH1,25.0
REGION1,FRSODIFH1,25.0
REGION1,FRSOUTPH2,25.0
REGION1,FRWIOFPH3,25.0
REGION1,FRWIOFPN2,25.0
REGION1,FRWIOFPN3,25.0
REGION1,FRWIONPH3,25.0
REGION1,FRWIONPN3,25.0
REGION1,FRWSCHPH2,25.0
REGION1,FRWSSTPH1,30.0
REGION1,LTBFHPFH1,20.0
REGION1,LTBMCCPH1,30.0
REGION1,LTBMCHPH3,25.0
REGION1,LTBMCSPN2,35.0
REGION1,LTBMSTPH3,30.0
REGION1,LTCOCHPH3,25.0
REGION1,LTCOCSPN2,40.0
REGION1,LTCOSTPH1,30.0
REGION1,LTCOSTPH3,30.0
REGION1,LTGOCVPH2,40.0
REGION1,LTHFCCPH2,30.0
REGION1,LTHFCHPH3,25.0
REGION1,LTHFGCPH3,25.0
REGION1,LTHFGCPN3,25.0
REGION1,LTHFHPFH1,20.0
REGION1,LTHFHPPH2,20.0
REGION1,LTHFSTPH2,30.0
REGION1,LTHFSTPH3,30.0
REGION1,LTHYDMPH0,80.0
REGION1,LTHYDMPH1,80.0
REGION1,LTHYDMPH2,80.0
REGION1,LTHYDMPH3,80.0
REGION1,LTHYDSPH2,80.0
REGION1,LTHYDSPH3,80.0
REGION1,LTNGCCPH2,30.0
REGION1,LTNGCHPH3,25.0
REGION1,LTNGCHPN3,25.0
REGION1,LTNGCSPN2,30.0
REGION1,LTNGFCFH1,5.0
REGION1,LTNGGCPH2,25.0
REGION1,LTNGGCPN2,25.0
REGION1,LTNGHPFH1,20.0
REGION1,LTNGHPPH2,20.0
REGION1,LTNGSTPH2,30.0
REGION1,LTOCWVPH1,25.0
REGION1,LTSODIFH1,25.0
REGION1,LTSOUTPH2,25.0
REGION1,LTWIOFPH3,25.0
REGION1,LTWIONPH3,25.0
REGION1,LTWSCHPH2,25.0
REGION1,LTWSSTPH1,30.0
REGION1,LUBFHPFH1,20.0
REGION1,LUBMCCPH1,30.0
REGION1,LUBMCHPH3,25.0
REGION1,LUBMCSPN2,35.0
REGION1,LUBMSTPH3,30.0
REGION1,LUCOCHPH3,25.0
REGION1,LUCOCSPN2,40.0
REGION1,LUCOSTPH1,30.0
REGION1,LUCOSTPH3,30.0
REGION1,LUGOCVPH2,40.0
REGION1,LUHFCCPH2,30.0
REGION1,LUHFCHPH3,25.0
REGION1,LUHFGCPH3,25.0
REGION1,LUHFGCPN3,25.0
REGION1,LUHFHPFH1,20.0
REGION1,LUHFHPPH2,20.0
REGION1,LUHFSTPH2,30.0
REGION1,LUHFSTPH3,30.0
REGION1,LUHYDMPH0,80.0
REGION1,LUHYDMPH1,80.0
REGION1,LUHYDMPH2,80.0
REGION1,LUHYDMPH3,80.0
REGION1,LUHYDSPH2,80.0
REGION1,LUHYDSPH3,80.0
REGION1,LUNGCCPH2,30.0
REGION1,LUNGCHPH3,25.0
REGION1,LUNGCHPN3,25.0
REGION1,LUNGCSPN2,30.0
REGION1,LUNGFCFH1,5.0
REGION1,LUNGGCPH2,25.0
REGION1,LUNGGCPN2,25.0
REGION1,LUNGHPFH1,20.0
REGION1,LUNGHPPH2,20.0
REGION1,LUNGSTPH2,30.0
REGION1,LUSODIFH1,25.0
REGION1,LUSOUTPH2,25.0
REGION1,LUWIONPH3,25.0
REGION1,LUWIONPN3,25.0
REGION1,LUWSCHPH2,25.0
REGION1,LUWSSTPH1,30.0
REGION1,LVBFHPFH1,20.0
REGION1,LVBMCCPH1,30.0
REGION1,LVBMCHPH3,25.0
REGION1,LVBMCSPN2,35.0
REGION1,LVBMSTPH3,30.0
REGION1,LVCOCHPH3,25.0
REGION1,LVCOCSPN2,40.0
REGION1,LVCOSTPH1,30.0
REGION1,LVCOSTPH3,30.0
REGION1,LVGOCVPH2,40.0
REGION1,LVHFCCPH2,30.0
REGION1,LVHFCHPH3,25.0
REGION1,LVHFGCPH3,25.0
REGION1,LVHFGCPN3,25.0
REGION1,LVHFHPFH1,20.0
REGION1,LVHFHPPH2,20.0
REGION1,LVHFSTPH2,30.0
REGION1,LVHFSTPH3,30.0
REGION1,LVHYDMPH0,80.0
REGION1,LVHYDMPH1,80.0
REGION1,LVHYDMPH2,80.0
REGION1,LVHYDMPH3,80.0
REGION1,LVNGCCPH2,30.0
REGION1,LVNGCHPH3,25.0
REGION1,LVNGCHPN3,25.0
REGION1,LVNGCSPN2,30.0
REGION1,LVNGFCFH1,5.0
REGION1,LVNGGCPH2,25.0
REGION1,LVNGGCPN2,25.0
REGION1,LVNGHPFH1,20.0
REGION1,LVNGHPPH2,20.0
REGION1,LVNGSTPH2,30.0
REGION1,LVOCWVPH1,25.0
REGION1,LVSODIFH1,25.0
REGION1,LVSOUTPH2,25.0
REGION1,LVWIONPH3,25.0
REGION1,LVWSCHPH2,25.0
REGION1,LVWSSTPH1,30.0
REGION1,NLBFHPFH1,20.0
REGION1,NLBMCCPH1,30.0
REGION1,NLBMCHPH3,25.0
REGION1,NLBMCSPN2,35.0
REGION1,NLBMSTPH3,30.0
REGION1,NLCOCHPH3,25.0
REGION1,NLCOCSPN2,40.0
REGION1,NLCOSTPH1,30.0
REGION1,NLCOSTPH3,30.0
REGION1,NLGOCVPH2,40.0
REGION1,NLHFCCPH2,30.0
REGION1,NLHFCHPH3,25.0
REGION1,NLHFGCPH3,25.0
REGION1,NLHFGCPN3,25.0
REGION1,NLHFHPFH1,20.0
REGION1,NLHFHPPH2,20.0
REGION1,NLHFSTPH2,30.0
REGION1,NLHFSTPH3,30.0
REGION1,NLHYDMPH0,80.0
REGION1,NLHYDMPH1,80.0
REGION1,NLHYDMPH2,80.0
REGION1,NLHYDMPH3,80.0
REGION1,NLNGCCPH2,30.0
REGION1,NLNGCHPH3,25.0
REGION1,NLNGCHPN3,25.0
REGION1,NLNGCSPN2,30.0
REGION1,NLNGFCFH1,5.0
REGION1,NLNGGCPH2,25.0
REGION1,NLNGGCPN2,25.0
REGION1,NLNGHPFH1,20.0
REGION1,NLNGHPPH2,20.0
REGION1,NLNGSTPH2,30.0
REGION1,NLNUG2PH3,50.0
REGION1,NLNUG3PN3,60.0
REGION1,NLOCWVPH1,25.0
REGION1,NLSODIFH1,25.0
REGION1,NLSOUTPH2,25.0
REGION1,NLWIOFPH3,25.0
REGION1,NLWIOFPN2,25.0
REGION1,NLWIOFPN3,25.0
REGION1,NLWIONPH3,25.0
REGION1,NLWIONPN3,25.0
REGION1,NLWSCHPH2,25.0
REGION1,NLWSSTPH1,30.0
REGION1,NOBFHPFH1,20.0
REGION1,NOBMCCPH1,30.0
REGION1,NOBMCHPH3,25.0
REGION1,NOBMCSPN2,35.0
REGION1,NOBMSTPH3,30.0
REGION1,NOCOCHPH3,25.0
REGION1,NOCOCSPN2,40.0
REGION1,NOCOSTPH1,30.0
REGION1,NOCOSTPH3,30.0
REGION1,NOHFCCPH2,30.0
REGION1,NOHFCHPH3,25.0
REGION1,NOHFGCPH3,25.0
REGION1,NOHFGCPN3,25.0
REGION1,NOHFHPFH1,20.0
REGION1,NOHFHPPH2,20.0
REGION1,NOHFSTPH2,30.0
REGION1,NOHFSTPH3,30.0
REGION1,NOHYDMPH0,80.0
REGION1,NOHYDMPH1,80.0
REGION1,NOHYDMPH2,80.0
REGION1,NOHYDMPH3,80.0
REGION1,NOHYDSPH2,80.0
REGION1,NOHYDSPH3,80.0
REGION1,NONGCCPH2,30.0
REGION1,NONGCHPH3,25.0
REGION1,NONGCHPN3,25.0
REGION1,NONGCSPN2,30.0
REGION1,NONGFCFH1,5.0
REGION1,NONGGCPH2,25.0
REGION1,NONGGCPN2,25.0
REGION1,NONGHPFH1,20.0
REGION1,NONGHPPH2,20.0
REGION1,NONGSTPH2,30.0
REGION1,NONUG3PN3,60.0
REGION1,NOOCWVPH1,25.0
REGION1,NOSODIFH1,25.0
REGION1,NOSOUTPH2,25.0
REGION1,NOWIOFPH3,25.0
REGION1,NOWIOFPN2,25.0
REGION1,NOWIOFPN3,25.0
REGION1,NOWIONPH3,25.0
REGION1,NOWIONPN3,25.0
REGION1,NOWSCHPH2,25.0
REGION1,NOWSSTPH1,30.0
REGION1,PLBFHPFH1,20.0
REGION1,PLBMCCPH1,30.0
REGION1,PLBMCHPH3,25.0
REGION1,PLBMCSPN2,35.0
