REGION,TECHNOLOGY,VALUE
REGION1,NLBFHPFH1,31.536
REGION1,NLBMCCPH1,31.536
REGION1,NLBMCHPH3,31.536
REGION1,NLBMCSPN2,31.536
REGION1,NLBMSTPH3,31.536
REGION1,NLCOCHPH3,31.536
REGION1,NLCOCSPN2,31.536
REGION1,NLCOSTPH1,31.536
REGION1,NLCOSTPH3,31.536
REGION1,NLELNOPH1,31.536
REGION1,NLELUKPH1,31.536
REGION1,NLGOCVPH2,31.536
REGION1,NLHFCCPH2,31.536
REGION1,NLHFCHPH3,31.536
REGION1,NLHFGCPH3,31.536
REGION1,NLHFGCPN3,31.536
REGION1,NLHFHPFH1,31.536
REGION1,NLHFHPPH2,31.536
REGION1,NLHFSTPH2,31.536
REGION1,NLHFSTPH3,31.536
REGION1,NLHYDMPH0,31.536
REGION1,NLHYDMPH1,31.536
REGION1,NLHYDMPH2,31.536
REGION1,NLHYDMPH3,31.536
REGION1,NLNGCCPH2,31.536
REGION1,NLNGCHPH3,31.536
REGION1,NLNGCHPN3,31.536
REGION1,NLNGCSPN2,31.536
REGION1,NLNGFCFH1,31.536
REGION1,NLNGGCPH2,31.536
REGION1,NLNGGCPN2,31.536
REGION1,NLNGHPFH1,31.536
REGION1,NLNGHPPH2,31.536
REGION1,NLNGSTPH2,31.536
REGION1,NLNUG2PH3,31.536
REGION1,NLNUG3PN3,31.536
REGION1,NLOCWVPH1,31.536
REGION1,NLSODIFH1,31.536
REGION1,NLSOUTPH2,31.536
REGION1,NLWIOFPH3,31.536
REGION1,NLWIOFPN2,31.536
REGION1,NLWIOFPN3,31.536
REGION1,NLWIONPH3,31.536
REGION1,NLWIONPN3,31.536
REGION1,NLWSCHPH2,31.536
REGION1,NLWSSTPH1,31.536
REGION1,NOBFHPFH1,31.536
REGION1,NOBMCCPH1,31.536
REGION1,NOBMCHPH3,31.536
REGION1,NOBMCSPN2,31.536
REGION1,NOBMSTPH3,31.536
REGION1,NOCOCHPH3,31.536
REGION1,NOCOCSPN2,31.536
REGION1,NOCOSTPH1,31.536
REGION1,NOCOSTPH3,31.536
REGION1,NOELSEPH1,31.536
REGION1,NOELUKPH1,31.536
REGION1,NOHFCCPH2,31.536
REGION1,NOHFCHPH3,31.536
REGION1,NOHFGCPH3,31.536
REGION1,NOHFGCPN3,31.536
REGION1,NOHFHPFH1,31.536
REGION1,NOHFHPPH2,31.536
REGION1,NOHFSTPH2,31.536
REGION1,NOHFSTPH3,31.536
REGION1,NOHYDMPH0,31.536
REGION1,NOHYDMPH1,31.536
REGION1,NOHYDMPH2,31.536
REGION1,NOHYDMPH3,31.536
REGION1,NOHYDSPH2,31.536
REGION1,NOHYDSPH3,31.536
REGION1,NONGCCPH2,31.536
REGION1,NONGCHPH3,31.536
REGION1,NONGCHPN3,31.536
REGION1,NONGCSPN2,31.536
REGION1,NONGFCFH1,31.536
REGION1,NONGGCPH2,31.536
REGION1,NONGGCPN2,31.536
REGION1,NONGHPFH1,31.536
REGION1,NONGHPPH2,31.536
REGION1,NONGSTPH2,31.536
REGION1,NONUG3PN3,31.536
REGION1,NOOCWVPH1,31.536
REGION1,NOSODIFH1,31.536
REGION1,NOSOUTPH2,31.536
REGION1,NOWIOFPH3,31.536
REGION1,NOWIOFPN2,31.536
REGION1,NOWIOFPN3,31.536
REGION1,NOWIONPH3,31.536
REGION1,NOWIONPN3,31.536
REGION1,NOWSCHPH2,31.536
REGION1,NOWSSTPH1,31.536
REGION1,PLBFHPFH1,31.536
REGION1,PLBMCCPH1,31.536
REGION1,PLBMCHPH3,31.536
REGION1,PLBMCSPN2,31.536
REGION1,PLBMSTPH3,31.536
REGION1,PLCOCHPH3,31.536
REGION1,PLCOCSPN2,31.536
REGION1,PLCOSTPH1,31.536
REGION1,PLCOSTPH3,31.536
REGION1,PLELSEPH1,31.536
REGION1,PLELSKPH1,31.536
REGION1,PLGOCVPH2,31.536
REGION1,PLHFCCPH2,31.536
REGION1,PLHFCHPH3,31.536
REGION1,PLHFGCPH3,31.536
REGION1,PLHFGCPN3,31.536
REGION1,PLHFHPFH1,31.536
REGION1,PLHFHPPH2,31.536
REGION1,PLHFSTPH2,31.536
REGION1,PLHFSTPH3,31.536
REGION1,PLHYDMPH0,31.536
REGION1,PLHYDMPH1,31.536
REGION1,PLHYDMPH2,31.536
REGION1,PLHYDMPH3,31.536
REGION1,PLHYDSPH2,31.536
