REGION,FUEL,YEAR,VALUE
REGION1,UKE1,2028,1.0
REGION1,UKE1,2029,1.0
REGION1,UKE1,2030,1.0
REGION1,UKE1,2031,1.0
REGION1,UKE1,2032,1.0
REGION1,UKE1,2033,1.0
REGION1,UKE1,2034,1.0
REGION1,UKE1,2035,1.0
REGION1,UKE1,2036,1.0
REGION1,UKE1,2037,1.0
REGION1,UKE1,2038,1.0
REGION1,UKE1,2039,1.0
REGION1,UKE1,2040,1.0
REGION1,UKE1,2041,1.0
REGION1,UKE1,2042,1.0
REGION1,UKE1,2043,1.0
REGION1,UKE1,2044,1.0
REGION1,UKE1,2045,1.0
REGION1,UKE1,2046,1.0
REGION1,UKE1,2047,1.0
REGION1,UKE1,2048,1.0
REGION1,UKE1,2049,1.0
REGION1,UKE1,2050,1.0
REGION1,UKE1,2051,1.0
REGION1,UKE1,2052,1.0
REGION1,UKE1,2053,1.0
REGION1,UKE1,2054,1.0
REGION1,UKE1,2055,1.0
REGION1,UKE1,2056,1.0
REGION1,UKE1,2057,1.0
REGION1,UKE1,2058,1.0
REGION1,UKE1,2059,1.0
REGION1,UKE1,2060,1.0
